No,Tanggal,Username,Link Post,Views,Like,Comment,Save,Share,Product,Approach,Content Type,Platform
1,2026-08-06,tiva3331,https://vt.tiktok.com/ZS4CSJfBR/,230471,135,13,21,4,Z Fold8 Ultra,CC,HQ Localized,Tiktok
2,2026-08-06,delia_isn,https://vt.tiktok.com/ZS4CkX5hJ/,18401,56,11,11,1,Z Fold8 Ultra,CC,HQ Localized,Tiktok
3,2026-08-06,devano_yak,https://vt.tiktok.com/ZS4XXYpCn/,71871,126,16,19,5,Z Fold8 Ultra,CC,HQ Localized,Tiktok
4,2026-08-06,diannll,https://vt.tiktok.com/ZS4XCgWCa/.,21729,66,11,22,0,"Z Fold8 Ultra, Fold8, Flip8",CC,HQ Localized,Tiktok
5,2026-08-06,rhesaagustin,https://vt.tiktok.com/ZS4XnVuaf/,546585,192,15,36,7,"Z Fold8 Ultra, Fold8, Flip8",CC,HQ Localized,Tiktok
6,2026-08-06,echaecha304,https://vt.tiktok.com/ZS4X7Bfat/,176130,75,11,13,0,"Z Fold8 Ultra, Fold8, Flip8",CC,HQ Localized,Tiktok
7,2026-08-06,riska_aul1,https://vt.tiktok.com/ZS4C2wpMB/,17586,53,14,19,0,"Z Fold8 Ultra, Fold8, Flip8",Telkomsel,HQ Localized,Tiktok
8,2026-08-06,bungasekar1,https://vt.tiktok.com/ZS4Xv44wJ/,17850,48,10,14,0,Z Fold8,Finance + ,HQ Localized,Tiktok
9,2026-08-06,budidamdam5,https://vt.tiktok.com/ZS4X3d3E4/,18541,51,8,18,1,Z Fold8,Telkomsel,HQ Localized,Tiktok
10,2026-08-06,selena.gina6,https://vt.tiktok.com/ZS4XTqGhr/,19123,59,9,17,0,Z Fold8 Ultra,Finance + ,HQ Localized,Tiktok
11,2026-08-06,amandazah5,https://vt.tiktok.com/ZS4XwVNbp/,17415,70,12,23,0,"Z Fold8 Ultra, Fold8, Flip8",Telkomsel,HQ Localized,Tiktok
12,2026-08-06,andromeda.arsan,https://vt.tiktok.com/ZS4XKonhN/,29410,71,12,11,0,"Z Fold8 Ultra, Fold8, Flip8",CC,HQ Localized,Tiktok
13,2026-08-06,caca_aull1,https://vt.tiktok.com/ZS4CSS1Cw/,160388,109,13,21,0,Z Fold8,CC,HQ Localized,Tiktok
14,2026-08-06,senja.nan.teduh,https://vt.tiktok.com/ZS4XEG5nf/,30624,60,17,10,0,"Z Fold8 Ultra, Fold8, Flip8",CC,HQ Localized,Tiktok
15,2026-08-06,baby_naaaj,https://vt.tiktok.com/ZS44S19fJ/,17400,9,0,0,1,Z Fold8,CC,Clippers,Tiktok
16,2026-08-06,itssmmi_kha,https://vt.tiktok.com/ZS444684P/,37332,21,0,0,1,Z Fold8,CC,AI,Tiktok
17,2026-08-06,yono2a,https://vt.tiktok.com/ZS44XkVtg/,17200,0,0,0,0,Z Fold8,CC,AI,Tiktok
18,2026-08-06,zoe_elluna,https://vt.tiktok.com/ZS44VKjU6/,181911,24,1,5,0,Z Fold8,CC,AI,Tiktok
19,2026-08-06,dapurmamaqeenan,https://vt.tiktok.com/ZS44bFAsx/,17439,6,0,3,0,Z Fold8,CC,AI,Tiktok
20,2026-08-06,wulandariratna94,https://vt.tiktok.com/ZS44HwdxW/,13661,16,0,1,0,Z Fold8,CC,Clippers,Tiktok
21,2026-08-06,fatiya.zean,https://vt.tiktok.com/ZS444HuYQ/,34909,17,0,0,0,Z Fold8,CC,Clippers,Tiktok
22,2026-08-06,hilyazujaj,https://vt.tiktok.com/ZS4VfYMEn/,11483,5,0,0,1,Z Fold8,CC,AI,Tiktok
23,2026-08-06,zeya_ahmad,https://vt.tiktok.com/ZS4VyYRfW/,613360,221,2,22,15,Z Fold8,CC,AI,Tiktok
24,2026-08-06,uswa_zain,https://vt.tiktok.com/ZS4VfgMTv/,6310,14,0,1,1,Z Fold8,CC,AI,Tiktok
25,2026-08-06,safana_humaira,https://vt.tiktok.com/ZS4GrNGjR/,9556,14,0,0,0,Z Fold8,CC,AI,Tiktok
26,2026-08-06,Wendy Kurnia,https://youtube.com/shorts/0vA3I_Vpw4s?si=qksot4BBTLMD4EpL,1558,13,0,0,0,Z Fold8 Ultra,CTA PO Only,HQ Localized,Youtube
27,2026-08-06,dede cantika,https://youtube.com/shorts/D_2nbFjUR0o?si=Rkpn9hAchy_zQXa-,1210,10,0,0,0,Z Fold8 Ultra,CTA PO Only,HQ Localized,Youtube
28,2026-08-06,Additya F,https://youtube.com/shorts/MdQI5TJSXDM?si=66A-skOt_DnmEoFf,1568,8,0,0,0,Z Fold8 Ultra,CC,HQ Localized,Youtube
